Name,Postcode,Date,Unit,Meter Reading,Output,Installed Capacity KW 
Building25,BS13 8RB,19/01/2014,KWh,24575,7,21.6
Building24,BS2 9UX,19/01/2014,KWh,18562,10,17.76
Building15,BS1 6RB,19/01/2014,KWh,10280,5,9.6
Building28,BS1 6RT,19/01/2014,KWh,9128,8,16.32
Building31,BS3 5NR,19/01/2014,KWh,23169,12,21.84
Building32,BS11 0UT,19/01/2014,KWh,7782,3,7.99
Building3,BS4 4BJ,18/01/2014,KWh,11925,19,9.87
Building4,BS10 5SW,18/01/2014,KWh,28392,44,24
Building0008A,BS10 6DS,18/01/2014,KWh,18584,30,15.36
Building11,BS3 2QG,18/01/2014,KWh,4563,2,25.23
Building0008B,BS10 6DS,18/01/2014,KWh,17175,29,14.61
Building9,BS13 7QB,18/01/2014,KWh,15493,13,13.2
Building10,BS4 2XG,18/01/2014,KWh,28056,46,26.95
Building14,BS7 9JT,18/01/2014,KWh,24043,20,24
Building13,BS2 9US,18/01/2014,KWh,25471,34,24
Building22,BS7 8LS,18/01/2014,KWh,8703,10,9.6
Building18,BS7 9PE,18/01/2014,KWh,9526,9,9.84
Building21,BS2 0SZ,18/01/2014,KWh,16714,25,19.2
Building27,BS11 9RR,18/01/2014,KWh,17103,19,16.66
Building50,BS3 3AU,18/01/2014,KWh,10885,15,9.88
Building19,BS10 6RG,18/01/2014,KWh,10006,8,9.6
Building17,BS10 7EJ,18/01/2014,KWh,9525,8,9.6
Building26,BS9 3HZ,18/01/2014,KWh,10914,14,9.88
Building23,BS5 6TY,18/01/2014,KWh,10547,13,9.16
Building16,BS14 8PS,18/01/2014,KWh,12796,0,19.44
Building25,BS13 8RB,18/01/2014,KWh,24568,18,21.6
Building24,BS2 9UX,18/01/2014,KWh,18552,26,17.76
Building15,BS1 6RB,18/01/2014,KWh,10275,12,9.6
Building28,BS1 6RT,18/01/2014,KWh,9120,15,16.32
Building31,BS3 5NR,18/01/2014,KWh,23157,25,21.84
Building32,BS11 0UT,18/01/2014,KWh,7779,8,7.99
Building3,BS4 4BJ,17/01/2014,KWh,11906,11,9.87
Building4,BS10 5SW,17/01/2014,KWh,28348,15,24
Building0008A,BS10 6DS,17/01/2014,KWh,18554,9,15.36
Building11,BS3 2QG,17/01/2014,KWh,4561,1,25.23
Building0008B,BS10 6DS,17/01/2014,KWh,17146,8,14.61
Building9,BS13 7QB,17/01/2014,KWh,15480,8,13.2
Building10,BS4 2XG,17/01/2014,KWh,28010,28,26.95
Building14,BS7 9JT,17/01/2014,KWh,24023,14,24
Building13,BS2 9US,17/01/2014,KWh,25437,20,24
Building22,BS7 8LS,17/01/2014,KWh,8693,6,9.6
Building18,BS7 9PE,17/01/2014,KWh,9517,5,9.84
Building21,BS2 0SZ,17/01/2014,KWh,16689,14,19.2
Building27,BS11 9RR,17/01/2014,KWh,17084,9,16.66
Building50,BS3 3AU,17/01/2014,KWh,10870,7,9.88
Building19,BS10 6RG,17/01/2014,KWh,9998,4,9.6
Building17,BS10 7EJ,17/01/2014,KWh,9517,5,9.6
Building26,BS9 3HZ,17/01/2014,KWh,10900,6,9.88
Building23,BS5 6TY,17/01/2014,KWh,10534,7,9.16
Building16,BS14 8PS,17/01/2014,KWh,12796,0,19.44
Building25,BS13 8RB,17/01/2014,KWh,24550,13,21.6
Building24,BS2 9UX,17/01/2014,KWh,18526,15,17.76
Building15,BS1 6RB,17/01/2014,KWh,10263,6,9.6
Building28,BS1 6RT,17/01/2014,KWh,9105,9,16.32
Building31,BS3 5NR,17/01/2014,KWh,23132,14,21.84
Building32,BS11 0UT,17/01/2014,KWh,7771,3,7.99
Building3,BS4 4BJ,16/01/2014,KWh,11895,5,9.87
Building4,BS10 5SW,16/01/2014,KWh,28333,14,24
Building0008A,BS10 6DS,16/01/2014,KWh,18545,10,15.36
Building11,BS3 2QG,16/01/2014,KWh,4560,0,25.23
Building0008B,BS10 6DS,16/01/2014,KWh,17138,9,14.61
Building9,BS13 7QB,16/01/2014,KWh,15472,6,13.2
Building10,BS4 2XG,16/01/2014,KWh,27982,15,26.95
Building14,BS7 9JT,16/01/2014,KWh,24009,9,24
Building13,BS2 9US,16/01/2014,KWh,25417,10,24
Building22,BS7 8LS,16/01/2014,KWh,8687,3,9.6
Building18,BS7 9PE,16/01/2014,KWh,9512,4,9.84
Building21,BS2 0SZ,16/01/2014,KWh,16675,10,19.2
Building27,BS11 9RR,16/01/2014,KWh,17075,8,16.66
Building50,BS3 3AU,16/01/2014,KWh,10863,5,9.88
Building19,BS10 6RG,16/01/2014,KWh,9994,5,9.6
Building17,BS10 7EJ,16/01/2014,KWh,9512,5,9.6
Building26,BS9 3HZ,16/01/2014,KWh,10894,5,9.88
Building23,BS5 6TY,16/01/2014,KWh,10527,4,9.16
Building16,BS14 8PS,16/01/2014,KWh,12796,0,19.44
Building25,BS13 8RB,16/01/2014,KWh,24537,9,21.6
Building24,BS2 9UX,16/01/2014,KWh,18511,7,17.76
Building15,BS1 6RB,16/01/2014,KWh,10257,5,9.6
Building28,BS1 6RT,16/01/2014,KWh,9096,7,16.32
Building31,BS3 5NR,16/01/2014,KWh,23118,11,21.84
Building32,BS11 0UT,16/01/2014,KWh,7768,4,7.99
Building3,BS4 4BJ,15/01/2014,KWh,11890,24,9.87
Building4,BS10 5SW,15/01/2014,KWh,28319,59,24
Building0008A,BS10 6DS,15/01/2014,KWh,18535,40,15.36
Building11,BS3 2QG,15/01/2014,KWh,4560,3,25.23
Building0008B,BS10 6DS,15/01/2014,KWh,17129,36,14.61
Building9,BS13 7QB,15/01/2014,KWh,15466,18,13.2
Building10,BS4 2XG,15/01/2014,KWh,27967,66,26.95
Building14,BS7 9JT,15/01/2014,KWh,24000,19,24
Building13,BS2 9US,15/01/2014,KWh,25407,41,24
Building22,BS7 8LS,15/01/2014,KWh,8684,13,9.6
Building18,BS7 9PE,15/01/2014,KWh,9508,8,9.84
Building21,BS2 0SZ,15/01/2014,KWh,16665,28,19.2
Building27,BS11 9RR,15/01/2014,KWh,17067,24,16.66
Building50,BS3 3AU,15/01/2014,KWh,10858,18,9.88
Building19,BS10 6RG,15/01/2014,KWh,9989,7,9.6
Building17,BS10 7EJ,15/01/2014,KWh,9507,7,9.6
Building26,BS9 3HZ,15/01/2014,KWh,10889,16,9.88
Building23,BS5 6TY,15/01/2014,KWh,10523,14,9.16
Building16,BS14 8PS,15/01/2014,KWh,12796,0,19.44
Building25,BS13 8RB,15/01/2014,KWh,24528,31,21.6
Building24,BS2 9UX,15/01/2014,KWh,18504,31,17.76
Building15,BS1 6RB,15/01/2014,KWh,10252,12,9.6
Building28,BS1 6RT,15/01/2014,KWh,9089,13,16.32
Building31,BS3 5NR,15/01/2014,KWh,23107,33,21.84
Building32,BS11 0UT,15/01/2014,KWh,7764,9,7.99
